11961,9106,7953,11922,8909,4983,14455,13731,2838,7337,13676,7420,9148,12113,10753,8986,4963,15453,12583,15131,11072,11673,7599,7127,8291,5488,10340,10869,12055,13804,8740,9933,12001,2510,10684,10557,9731,8880,7411,7589,12074,9508,6984,6508,10084,9455,4091,10806,9428,6241,4553,12242,10212,10128,12285,13621,7939,10777,12190,10820,12220,11737,10880,13574,14534,10320,10506,14310,9636,12713,7520,10903,7583,11873,8249,8553,4636,5098,8922,9437,9068,14252,5634,4650,8698,5626,9200,5082
13479,8784,7687,12888,10086,5602,16520,15284,3342,6593,14824,7660,8912,13397,10892,11499,6452,17172,15807,17259,12143,11822,8881,8553,7909,4857,11620,11351,13240,15421,9245,12412,13829,2485,10911,13228,10934,8140,8909,9516,12361,11827,8386,7907,9701,11425,3719,12154,9142,7019,5537,13588,10603,10052,12905,15794,7871,10658,13535,11245,14215,12333,11455,15191,15871,10155,10174,16585,9849,13602,7650,12162,7997,15092,8921,9047,6054,6302,10858,9193,11402,16293,6271,3835,9972,7134,10700,6553
9106,9324,7966,9970,6540,3792,10580,10762,1928,8182,11264,6838,9208,9530,10228,4700,2190,12136,6864,11116,8924,10860,5102,4414,8522,6316,7876,9514,9762,10650,7588,5650,8506,2434,10004,5914,7406,9640,4768,4040,11296,5426,4538,4110,10354,6064,4536,8242,9442,4860,2890,9734,9012,9820,10730,9570,7816,10364,9484,9642,8550,10254,9622,10454,11790,10198,10754,10068,8780,10778,7066,8624,6490,6250,6942,7290,2090,2814,5328,9338,4908,10398,4396,5816,6432,2840,6534,2582
7953,7966,9485,8496,8657,3719,10175,9349,1698,8961,11500,4950,8180,10077,7769,2860,5489,10929,7633,10913,8562,12541,7463,6863,9223,5542,7720,11941,8025,10644,7322,4031,9869,2662,7846,4775,7413,10688,3737,6761,8164,5088,3050,2204,9092,3421,4221,7592,10438,2735,1149,7108,11750,10060,11761,9827,6149,13205,10424,10588,8124,11089,7696,10014,11926,9528,8132,10316,10890,10607,5954,5383,8595,5979,5049,9433,3622,5432,7622,11137,5844,10448,4172,4880,4138,5350,4554,1478
11922,9970,8496,12225,8630,4944,14200,13803,2742,8174,13856,7891,9940,12092,11536,8233,4165,15522,11449,14867,11177,12198,7158,6566,8984,6259,10262,11094,12259,13738,9019,9243,11596,2666,11389,9759,9647,9792,7087,6746,12905,8788,6723,6250,11038,9107,4589,10755,10115,6343,4400,12431,10425,10794,12624,13201,8605,11314,12109,11186,11866,12070,11378,13526,14666,11118,11559,13875,9963,13013,8003,11104,7664,10775,8522,8646,3991,4525,8190,10040,8216,13964,5637,5487,8680,4918,9059,4632
8909,6540,8657,8630,9870,4158,11800,10166,2134,7403,11992,4382,6920,10939,6692,5371,7650,11864,11223,12599,9079,12006,8971,8627,8083,4073,8624,12053,8418,11751,7253,6446,11627,2447,6943,7478,8284,9044,5069,9232,7085,7501,4216,3345,7511,5009,3303,8480,9380,2991,1895,7582,11835,9128,11743,11772,5135,12538,11423,10407,9837,11055,7301,11077,12597,8321,6388,12345,10681,10756,5336,5758,8843,9470,5019,9717,5452,7080,9930,10255,8502,12123,4559,3199,4860,7366,5598,2959
14849,11322,11211,14735,12510,6388,18390,17035,3520,10123,17840,8757,11524,15921,12862,10444,7865,19364,16314,19364,14148,16094,10895,10295,11273,6920,13254,15349,14743,17809,11236,11799,16081,3405,12904,12819,12549,12276,8950,10948,14238,11897,8183,7355,12661,10758,5270,13611,12891,7004,4945,14525,14656,13402,16497,17603,9598,15534,16204,14569,15463,15687,13215,17295,18883,13223,12539,18484,13624,16423,9287,12484,10897,14875,9767,12173,6583,7757,12484,13289,11942,18351,7164,5774,10056,8344,10829,5867
4983,3792,3719,4944,4158,2138,6160,5716,1182,3361,5960,2948,3856,5317,4324,3531,2596,6492,5463,6483,4735,5350,3617,3417,3749,2313,4436,5095,4952,5957,3757,3980,5365,1133,4335,4316,4198,4076,3013,3636,4793,3995,2762,2491,4237,3641,1759,4562,4286,2371,1681,4892,4859,4468,5497,5890,3223,5146,5407,4853,5183,5229,4439,5791,6311,4419,4214,6185,4521,5490,3114,4218,3613,4996,3289,4039,2190,2566,4154,4409,3994,6141,2399,1931,3396,2766,3652,1985
6127,5624,6927,6352,6754,2870,7940,7136,1358,6369,8696,3548,5824,7717,5536,2647,4608,8344,6479,8507,6499,9274,5929,5537,6653,3813,5956,8975,6052,8185,5449,3504,7765,1945,5635,4128,5722,7644,3061,5616,5821,4311,2506,1863,6433,2857,2951,5850,7582,2067,993,5372,8831,7316,8793,7758,4351,9758,8011,7881,6427,8285,5635,7699,9051,6847,5662,8141,8117,7950,4298,4054,6501,5208,3737,7135,3118,4446,6218,8153,4946,8161,3195,3271,3212,4462,3596,1405
14455,10580,10175,14200,11800,6160,17850,16530,3470,9085,16960,8440,10760,15185,12290,10765,7450,18730,16175,18755,13565,14840,10305,9785,10285,6315,12780,14175,14310,17115,10655,11990,15425,3135,12325,12950,12080,11060,8945,10530,13695,11885,8250,7525,11795,10965,4815,13190,11790,7015,5125,14260,13465,12420,15445,17080,9095,14100,15425,13595,15105,14705,12705,16685,18005,12325,11850,17935,12515,15600,8810,12400,10045,14950,9525,11255,6430,7330,12010,12085,11790,17755,6905,5205,10040,7990,10800,6075
13731,10762,9349,13803,10166,5716,16530,15803,3228,8737,15792,8681,10788,13927,12618,10054,5457,17784,14080,17306,12766,13622,8605,8021,9783,6574,11862,12599,13919,15851,10146,11167,13671,2943,12514,11851,11161,10540,8400,8456,14148,10679,7927,7377,11919,10728,4876,12403,11091,7194,5167,14121,11842,11882,14255,15519,9348,12606,13998,12579,13925,13621,12669,15589,16761,12141,12427,16306,11214,14723,8807,12580,8767,13267,9565,9887,5119,5685,10024,11079,10138,16289,6478,5632,9976,6244,10513,5677
2838,1928,1698,2742,2134,1182,3470,3228,696,1486,3160,1646,1952,2842,2354,2342,1328,3630,3248,3628,2578,2574,1866,1786,1750,1094,2452,2454,2804,3260,1982,2544,2906,544,2354,2712,2308,1824,1844,1966,2662,2432,1734,1628,2132,2356,832,2562,2014,1472,1138,2866,2298,2196,2778,3308,1712,2342,2870,2428,2972,2654,2452,3208,3376,2220,2226,3474,2142,2908,1654,2558,1726,3088,1894,1950,1238,1310,2256,2026,2344,3424,1326,882,2084,1472,2230,1332
7337,8182,8961,8174,7403,3361,9085,8737,1486,8829,10612,5140,8276,9101,8051,2132,3921,10151,5851,9727,7934,11711,6143,5479,8947,5826,6980,10813,7685,9638,6950,3231,8477,2540,8018,3759,6677,10440,3227,5103,8528,4026,2708,1986,9278,3095,4327,6942,10016,2817,1101,6934,10594,9736,10905,8547,6383,12199,9320,9870,7130,10309,7670,9128,10968,9470,8642,8980,9982,9951,5980,5441,7671,4491,5053,8441,2552,4146,6034,10489,4456,9254,3828,5300,4006,3962,4240,1064
